=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.10.29 13:47:14 =~=~=~=~=~=~=~=~=~=~=~=
Sensor 1: 14.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 14.00 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 14.00 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.94 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.94 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.94 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.94 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.94 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.94 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.88 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.88 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.88 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.88 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.81 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.81 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.81 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.75 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.75 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.75 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.75 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.75 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.69 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.69 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.69 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.69 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.69 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.63 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.63 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.63 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.63 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.63 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.56 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.56 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.56 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.56 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.56 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.56 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.50 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.44 °C	Sensor 2: 23.81 °C	Sensor 3: 29.37 °C
Sensor 1: 13.44 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.38 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.38 °C	Sensor 2: 23.81 °C	Sensor 3: 29.37 °C
Sensor 1: 13.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.37 °C
Sensor 1: 13.31 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.25 °C	Sensor 2: 23.81 °C	Sensor 3: 29.44 °C
Sensor 1: 13.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.25 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.56 °C
Sensor 1: 13.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.19 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.13 °C	Sensor 2: 23.81 °C	Sensor 3: 29.50 °C
Sensor 1: 13.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.13 °C	Sensor 2: 23.81 °C	Sensor 3: 29.50 °C
Sensor 1: 13.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.56 °C
Sensor 1: 13.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.13 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.06 °C	Sensor 2: 23.81 °C	Sensor 3: 29.50 °C
Sensor 1: 13.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.00 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.06 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.00 °C	Sensor 2: 23.81 °C	Sensor 3: 29.50 °C
Sensor 1: 13.00 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.00 °C	Sensor 2: 23.81 °C	Sensor 3: 29.44 °C
Sensor 1: 13.00 °C	Sensor 2: 23.87 °C	Sensor 3: 29.50 °C
Sensor 1: 13.00 °C	Sensor 2: 23.87 °C	Sensor 3: 29.44 °C
Sensor 1: 13.00 °C	Sensor 2: 23.81 °C	Sensor 3: 29.50 °C
